[gamma = 1, lr = 0.005]
Lr	Win	Draw	Lose	Elimination
1.00E+0	49	12	39	0
5.00E-1	59	11	30	0
2.50E-1	56	9	35	0
1.25E-1	62	11	27	0
6.25E-2	56	7	37	0
3.12E-2	56	14	30	0
1.56E-2	65	6	29	0
7.81E-3	53	13	34	0
3.91E-3	69	9	22	0
1.95E-3	69	9	22	0
9.77E-4	67	12	21	0
4.88E-4	60	12	28	0
2.44E-4	65	16	19	0
1.22E-4	74	15	11	0
6.10E-5	65	15	20	0
3.05E-5	70	11	19	0
1.53E-5	62	18	20	0
7.63E-6	64	19	17	0
3.81E-6	77	8	15	0
1.91E-6	68	15	17	0
9.54E-7	72	12	16	0
4.77E-7	78	11	11	0
2.38E-7	67	20	13	0
1.19E-7	67	16	17	0
5.96E-8	62	21	17	0
2.98E-8	65	19	16	0
1.49E-8	78	11	11	0
7.45E-9	72	16	12	0
3.73E-9	79	15	6	0
1.86E-9	67	12	21	0
9.31E-10	70	16	14	0
4.66E-10	73	14	13	0
2.33E-10	72	12	16	0
1.16E-10	72	15	13	0
5.82E-11	73	20	7	0
2.91E-11	75	15	10	0
1.46E-11	71	16	13	0
7.28E-12	70	21	9	0
3.64E-12	74	18	8	0
1.82E-12	80	14	6	0
9.09E-13	81	11	8	0
4.55E-13	77	14	9	0
2.27E-13	74	15	11	0
1.14E-13	86	9	5	0
5.68E-14	77	15	8	0
2.84E-14	82	12	6	0
1.42E-14	77	9	14	0
7.11E-15	86	6	8	0
3.55E-15	75	15	10	0
1.78E-15	80	16	4	0
8.88E-16	79	11	10	0
4.44E-16	76	13	11	0
2.22E-16	80	8	12	0
1.11E-16	75	9	16	0
5.55E-17	81	10	9	0
